time,phase_raw,phase_detrended
1.065499976184219122e+01,3.608609998270523089e+00,1.391696195669269720e+00
1.065999976173043251e+01,3.604672182605103359e+00,1.388211695787896716e+00
1.066499976161867380e+01,3.598510943883405755e+00,1.382503772850245838e+00
1.066999976150691509e+01,3.582009567805537475e+00,1.366455712556424729e+00
1.067499976139515638e+01,3.559540349283457417e+00,1.344439809818391396e+00
1.067999976128339767e+01,3.525541077753575170e+00,1.310893854072556763e+00
1.068499976117163897e+01,3.494928627218724326e+00,1.280734719321753090e+00
1.068999976105988026e+01,3.476022249673443199e+00,1.262281657560518688e+00
1.069499976094812155e+01,3.477447590104797204e+00,1.264160313775919420e+00
1.069999976083636284e+01,3.489256980651924245e+00,1.276423020107094075e+00
1.070499976072460413e+01,3.514752383575508343e+00,1.302371738814724900e+00
1.070999976061284542e+01,3.568308777468341741e+00,1.356381448491605468e+00
1.071499976050108671e+01,3.633480323767149134e+00,1.422006310574460031e+00
1.071999976038932800e+01,3.684468131127560664e+00,1.473447433718917843e+00
1.072499976027756929e+01,3.677295290828326291e+00,1.466727909203730640e+00
1.072999976016581059e+01,3.650982278155587402e+00,1.440868212315039365e+00
1.073499976005405188e+01,3.577765598658497304e+00,1.368104848601996437e+00
1.073999975994229317e+01,3.485223290813836972e+00,1.276015856541382831e+00
1.074499975983053446e+01,3.418706300092998696e+00,1.209952181604591281e+00
1.074999975971877575e+01,3.379994757383103732e+00,1.171693954678743488e+00
1.075499975960701704e+01,3.339902909995547287e+00,1.132055423075233769e+00
1.075999975949525833e+01,3.281543400972440239e+00,1.074149229836174335e+00
1.076499975938349962e+01,3.237622567588349654e+00,1.030681712236130920e+00
1.076999975927174091e+01,3.222535299541638754e+00,1.016047759973466746e+00
1.077499975915998220e+01,3.224311165179788219e+00,1.018276941395662938e+00
1.077999975904822350e+01,3.222996347196398492e+00,1.017415439196320825e+00
1.078499975893646479e+01,3.214337674895050956e+00,1.009210082679020459e+00
1.078999975882470608e+01,3.216775439644283807e+00,1.012101163212300037e+00
1.079499975871294737e+01,3.230265102313663927e+00,1.026044141665726883e+00
1.079999975860118866e+01,3.240928053029018763e+00,1.037160408165129333e+00
1.080499975848942995e+01,3.255893595737266111e+00,1.052579266657423851e+00
1.080999975837767124e+01,3.273919127730799516e+00,1.071058114435003539e+00
1.081499975826591253e+01,3.305830221807383840e+00,1.103422524295635476e+00
1.081999975815415382e+01,3.334126100456968000e+00,1.132171718729266807e+00
1.082499975804239511e+01,3.367654037135252576e+00,1.166152971191597665e+00
1.082999975793063641e+01,3.407018291995564940e+00,1.205970541835957199e+00
1.083499975781887770e+01,3.444971814968660340e+00,1.244377380593100213e+00
1.083999975770711899e+01,3.471693748075244113e+00,1.271552629483730712e+00
1.084499975759536028e+01,3.501467586022676493e+00,1.301779783215209818e+00
1.084999975748360157e+01,3.518093346586991021e+00,1.318858859563571961e+00
1.085499975737184286e+01,3.527617080742666111e+00,1.328835909503293777e+00
1.085999975726008415e+01,3.531926153478853969e+00,1.333598298023528805e+00
1.086499975714832544e+01,3.532028375511750973e+00,1.334153835840472979e+00
1.086999975703656673e+01,3.531349284948273937e+00,1.333928061061042669e+00
1.087499975692480803e+01,3.516413687058464799e+00,1.319445778955280701e+00
1.087999975681304932e+01,3.525725206515544219e+00,1.329210614196407292e+00
1.088499975670129061e+01,3.520681441106531029e+00,1.324620164571441272e+00
1.088999975658953190e+01,3.534582431477157005e+00,1.338974470726113530e+00
1.089499975647777319e+01,3.534863710509545953e+00,1.339709065542550093e+00
1.089999975636601448e+01,3.547800867238187106e+00,1.353099538055237971e+00
1.090499975625425577e+01,3.558187638077420889e+00,1.363939624678518925e+00
1.090999975614249706e+01,3.569951351785798366e+00,1.376156654170943128e+00
1.091499975603073835e+01,3.583008120565178256e+00,1.389666738734370632e+00
1.091999975591897964e+01,3.589542948939902889e+00,1.396654882893142435e+00
1.092499975580722094e+01,3.598536292169868478e+00,1.406101541907154306e+00
1.092999975569546223e+01,3.595216573966510065e+00,1.403235139487843064e+00
1.093499975558370352e+01,3.592119914536885616e+00,1.400591795842266229e+00
1.093999975547194481e+01,3.586891756055707425e+00,1.395816953145135209e+00
